kh-qx4ncshwrucb5_7amka	Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.
TidXIXs8SCujrMlDATF54A	Chucky is actually Chuck Norris' son.......wait what the fu-
j0chPioHT0OtqOvw4k9tHw	Chuck Norris actually has no beard. It's rust from his iron jaw
4-fswjmBSga9DGzmcdOnMA	Chuck Norris can choose his friends... his neighbors... his parents and family.
1OgZjJoaTmaACOwSkaeYGA	At this moment there is a fifty-fifty chance Chuck Norris is fucking your sister
3Uq4sB_ZSWu9XY-moJY1Cg	Chuck Norris can win at the game Battleship by simply banging Rihanna.
L1GsWHngRoSW1UPXidGQgg	Chuck Norris is the true Sultan of Swing. He also gets his money for nothing, and his chicks for free.
CSis8kaXTLGP9EYjYCUkKQ	Chuck Norris visits an active volcano every morning to get some of "the best damn espresso on Earth".
Qw17fKlcS4qojaU6nyFncg	FATWA senders-- Molly Norris is Chuck Norris's little sister
aRwDh0tnSLKfIhAGJHOnEQ	Chuck Norris lets lightning hit him sometimes--it tickles.
DMLZlA9FSLGdXr6QBsWSMg	When life gives Chuck Norris lemon's he makes orange juice
USxrFLGFTHybP4-CJ2UFQQ	Chuck Norris does not fear cancer. cancer fears Chuck Norris
aedxS378RYWfbVZgGJdsnQ	Chuck Norris can stop the Stones from rolling.
3qiDYGSeRdKpxZYznleT4w	Chuck Norris staged the moon landing in his back garden
tbJI94B2Tc2_s71KW61wCQ	Chuck Norris has never worn underwear not made out of leather.
kDTRMcrOQ42onIljXek-Gg	ya know how you cant eat just one lays chip WELL Chuck Norris CAN
SobsmZOKSYuW9gwlYvu69g	Fifty Shades Of Grey was originally about Chuck Norris' back hair.
HwlaiRoARXKO6gDkRaRKyQ	Chuck Norris was Maria Shriver's rebound guy. And he was totally cool with it.
us9KQTLCSousRdObkQ03Sw	Chuck Norris' penis has abs.
wGbqgcxRQumTYd6y55cHwA	Chuck Norris ripped the horn off of the world's last unicorn. He made a scrimshawed knife handle out of it.
zY34_rcIQ3ikA7LjLST9zw	Chuck Norris drinks Mexican water by the gallon.
T69uIFSfQ8GJZm8F9mRmiA	Chuck norris is actually an albino silverback gorrilla
XfBtseHeQJ22g2v44J3xyA	Who let the dogs out? Chuck Norris let the dogs out....then roundhouse kicked them through an oldsmobile.
1KQ9RXVhQUax3PaCl2S7pg	Chuck Norris taught spongebob how to make a camp fire. Underwater.
nv8QZIArQQmQRYQiNcipWw	Chuck Norris does not do drugs. In order to get a buzz he climbs radio station transmition towers during thunderstorms and drinks Redbull & Captain Morgan Rum from a pair of 55 gallon steel drums.
w3PuSIngQmm9HDf30Uindg	when Chuck Norris had sex with a waitress he spermed and created hurricane katrina
wws_lXwUTI698GGhipHsbw	Tim Tebow can throw a football over 50 yards. Chuck Norris can throw Time Tebow even further.
G7LTYBw8RmWwOJSNv9ofwQ	Chuck Norris kills and average of 12.3 people on his way to the store
zN03ZzANTSeeIUbS3Pe-Yw	Mosses did not parted the Red Sea. Chuck Norris did. The Bible got confused because Mosses and Chuck Norris sound so much alike.
ZqTlF-iQQ0SETmUOEfaYtw	the last person to survive a roundhouse kick by Chuck Norris was michael jackson. then he turned white
cwXURQP9SRK_OddWP-v_nQ	Chuck Norris wil see you.... NOW!
gnSrJqShRAqzRW-_bxxnWw	Tom Cruise lives with the certainty that one day, he'll bend over the bathroom sink to splash water on his face, lift up his head and in the mirror see that Chuck Norris is standing directly behind him.
wiwotMsWT8SKz4DD-MEpjw	Chuck Norris scratches his back with a circular saw.
wIkJ7EssS6GUs-ACNUbzuw	There is no Ninja Turtle cereal because eating ninjas for breakfast is a copyright of Chuck Norris.
sKjXPWkjRByRY9UlQDd99A	Chuck Norris doesn't play music - he works it like a slave owner.
gluyFaTyRkSVmf91D0nupg	Chuck Norris once killed a man by throwing a suggestion at him!
Ci9WFKGRTsi599yWp4byGA	Chuck Norris once sniffed out & found 167 truffles in the Mojave Desert.
96Ynm3_zTbiXuNOR0teluA	Chuck Norris made the Grand Canyon because he coughed "Just Once"
10mnaFmrSgWqQdmeQCCaaA	If Chuck Norris ever allowed a sports team to be named after him, that team would never lose again...except when Chuck Norris played against it.
4toKvBTOQIS6uxJJLv1VSA	Testosterone takes Chuck Norris supplements
LsywufEGRU2AeLbSu0kxXA	If you're ever stupid enough to ask for Chuck Norris' credentials, expect to witness something completely mind-blowing and impossibly awesome just before your brutal death.
2y2rXu3nRJ-rqO5kTXzMCg	the grim reaper once was on Chuck Norris' door step. after he knocked, Chuck Norris said "who is it" the reaper responded "death" Chuck Norris chuckled and replied "no its not! I am death!" and proceeded to round house kick the reaper to death
Q4QOV09yQiuoQzEPOtybqg	When Barack Obama said "Yes we can," he actually was referring to Chuck Norris
rwJIRDgKSiWnJmtyVZrCoA	Of course Chuck Norris is banging Sarah Palin.
mKl3SbonQ12-K4IxG9WrqQ	The Earth does not revolve around the sun...this is because the sun revolves around Chuck Norris, who lives on Earth
